name,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.LintScore,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.repository.CommitsUntilConfigAdded,ch.uzh.ciclassifier.features.repository.ConfigChangeFrequency,ch.uzh.ciclassifier.features.repository.DaysUntilConfigAdded,ch.uzh.ciclassifier.features.repository.NumberOfConfigurationFileChanges,ch.uzh.ciclassifier.features.repository.NumberOfContributors,ch.uzh.ciclassifier.features.travisci.BuildTimeAverage,ch.uzh.ciclassifier.features.travisci.BuildSuccessRatio,ch.uzh.ciclassifier.features.travisci.BuildTimeLatestAverage,ch.uzh.ciclassifier.features.travisci.ManualInteractionRatio,ch.uzh.ciclassifier.features.travisci.PullRequestRatio,ch.uzh.ciclassifier.features.travisci.TimeToFixAverage,ch.uzh.ciclassifier.features.travisci.TimeToFixLatestAverage
railsbridge-boston_docs,0,1,0,8,1,0,1,12,0,0,1,881,0.005770816,954,7,215,88.3298969072165,0.9130434782608695,67.0,0.0,0.6057692307692307,5782.2,0.0
oliviercailloux_j-rank-vectors,0,0,0,11,1,0,1,1,0,0,1,10,0.01438849,111,2,3,101.10526315789474,0.4935064935064935,101.88,0.0,0.0,761123.8333333334,2129977.0
pressbooks_pressbooks,3,2,0,79,1,2,1,23,24,1,1,1538,0.017640047,1059,74,55,1374.7542075736326,0.8213816653532966,727.96,2.8793550244745177E-4,0.5790382954218255,14464.26510067114,-53745.71111111111
aidamanna_devicenator-jvm,1,0,0,24,1,0,1,2,4,0,1,50,0.12820514,201,15,2,114.2235294117647,0.7346938775510204,81.72,0.009174311926605505,0.0,261487.8,632.0
liip_LiipImagineBundle,8,1,5,96,10,0,1,13,9,0,1,145,0.048484847,277,80,217,1550.0646258503402,0.6760204081632653,768.28,0.0,0.7338129496402878,627655.0,36964.8
HubSpot_Singularity,0,0,0,9,1,0,1,2,1,0,1,1945,0.0023921402,310,28,91,2092.373670212766,0.41405291746977396,977.2,0.0,0.7945611200861604,90151.67117117117,0.0
ndunand_moodle-tool_mergeusers,2,7,3,72,6,0,1,253,15,0,1,211,0.016194332,1980,4,17,971.0,0.7608695652173914,979.32,0.0,0.6097560975609756,144630.33333333334,0.0
puppetlabs_puppetlabs-ntp,4,0,0,138,11,1,3,0,17,1,1,37,0.058935363,463,62,138,4136.428571428572,0.6368821292775665,4136.428571428572,0.0,1.0,232374.25,75998.0
cartalyst_sentry,0,0,0,19,5,0,1,3,3,0,0,215,0.0054644807,255,4,109,540.6,0.75,540.6,0.0,0.8333333333333334,0.0,0.0
cronitorio_cronitor-ruby,0,0,0,6,2,0,1,2,0,0,0,0,0.05882353,0,6,6,54.92857142857143,0.9714285714285714,54.56,0.0,0.41379310344827586,1.5255312E7,0.0
grails_grails-core,6,1,0,60,3,1,1,12,2,1,1,14492,0.003616076,3329,70,322,1669.8850574712644,0.7689995706311722,3335.72,0.0,0.2945945945945946,206052.23529411765,272626.78571428574
voxpupuli_puppet-filemapper,3,0,3,50,4,2,1,0,3,1,1,106,0.10460251,221,25,14,474.1111111111111,0.7388059701492538,344.08,0.0,0.5948275862068966,3711158.8181818184,675025.0
Kapeli_Dash-User-Contributions,0,0,0,8,1,0,1,1,1,0,0,20,0.0012492193,1,10,491,27.637759454080182,0.7110258481421647,22.92,0.0,0.47482305358948435,10711.675347222223,10080.235294117647
wework_plasma,0,1,0,16,1,0,1,11,6,0,1,257,0.012205754,288,14,35,97.97950219619327,0.6607756504663721,188.68,0.0,0.740625,188424.5194805195,643194.7142857143
datastax_nodejs-driver,0,1,0,45,7,0,1,12,11,0,1,96,0.018245613,71,26,58,322.11046511627904,0.8994413407821229,335.0,0.005405405405405406,0.5297297297297298,64534.77777777778,346.0
wankdanker_node-redis-index,0,0,0,7,2,0,1,3,0,0,0,33,0.010752688,812,1,1,88.27586206896552,0.8823529411764706,83.84,0.0,0.0,9841797.5,0.0
Ezhil-Language-Foundation_open-tamil,0,1,2,22,3,0,1,12,8,0,0,2,0.046625767,0,38,21,915.716577540107,0.7127272727272728,724.84,0.0,0.1346153846153846,778102.3461538461,24739.4
instedd_resourcemap,0,0,0,33,1,1,1,2,10,0,1,3021,0.009895392,958,35,38,1268.304347826087,0.5445544554455446,1268.304347826087,0.0,0.0,153969.8,0.0
abotalov_waiting_rspec_matchers,0,1,0,20,9,0,1,12,2,0,0,0,0.42857143,0,9,3,507.3333333333333,0.5,507.3333333333333,0.0,0.0,963.0,0.0
perfectsense_brightspot-cms,0,0,0,18,1,0,1,2,2,1,0,3687,0.0020655466,989,15,52,575.3222811671087,0.9044155844155845,675.48,0.0,0.6645649432534678,34689.68965517241,29916.5
sql-viewer_SQLGlimpse,0,1,0,10,1,1,1,102,2,0,0,5,0.015306123,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sous-chefs_jenkins,3,1,2,47,9,0,1,105,6,1,0,206,0.04265403,962,45,464,3328.0848484848484,0.3107344632768362,10378.08,0.0,0.6516007532956686,937642.9795918367,0.0
codecentric_spring-boot-admin,1,0,0,28,1,0,1,1,4,0,1,90,0.0186722,128,27,145,880.8153724247227,0.7067124332570557,1021.68,5.555555555555556E-4,0.26166666666666666,99804.01773049646,298746.77777777775
threerings_tripleplay,1,1,0,17,2,0,1,12,0,0,1,1075,0.0039259675,709,7,22,199.45,0.460431654676259,279.72,0.0,0.3333333333333333,767549.8333333334,0.0
maks-rafalko_tactician-domain-events-bundle,0,1,0,30,5,0,1,12,4,0,1,0,0.04255319,0,2,10,298.5,0.7777777777777778,298.64,0.0,0.47058823529411764,9389214.0,0.0
shirasagi_shirasagi,7,10,14,181,10,0,3,100,43,0,1,54,0.0062276195,104,40,41,4238.078571428571,0.13701338199513383,8068.04,0.0,0.6521143639787708,284081.04736842104,731903.7916666666
tonihele_OpenKeeper,0,1,0,11,1,0,1,12,1,0,1,907,0.0034188034,472,8,17,126.7875,0.932349323493235,75.24,0.0,0.5059523809523809,27699.46153846154,461.75
GroceriStar_antd-showcase-components,0,0,2,16,3,0,1,2,2,1,0,21,0.004008016,1,2,7,182.8181818181818,0.0458970792767733,156.8,0.0,0.6648122392211405,46627.666666666664,0.0
kkojaeh_pico-erp-company,0,0,0,14,1,0,1,2,2,0,1,10,0.028985508,12,2,1,114.38235294117646,0.7023809523809523,116.48,0.0,0.02,2160.0,121.0
OCA_account-fiscal-rule,5,0,1,50,3,0,2,2,6,0,1,0,0.008988764,0,4,63,556.189393939394,0.6080246913580247,591.36,0.0,0.7719298245614035,42087.642857142855,84110.0
ericfreese_node-freetype2,0,1,4,27,7,0,1,11,3,0,0,7,0.225,2,9,5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
eFaps_eFaps-POS-BE,0,0,0,21,1,0,1,2,5,0,1,5,0.021220159,0,8,4,170.84615384615384,0.8586572438162544,162.44,0.011857707509881422,0.007905138339920948,27698.636363636364,734.0
krischer_pyadjoint,1,0,4,45,3,0,1,2,20,0,0,0,0.11881188,0,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tenkiv_Tekdaqc-JVM-Library,0,0,2,20,1,1,1,2,2,0,0,37,0.046511628,575,4,3,107.16,0.6551724137931034,107.16,0.0,0.02702702702702703,19656.75,0.0
Automattic_WPCOM-Legacy-Redirector,2,0,0,21,6,1,1,2,2,0,0,1,0.028301887,0,6,18,213.30769230769232,0.6911764705882353,204.88,0.0,0.673469387755102,94109.0,0.0
cache2k_cache2k,0,0,0,12,2,0,1,2,1,0,1,93,0.0017857143,277,4,7,380.825,0.47,385.2,0.010752688172043012,0.0,348913.5714285714,0.0
ReactionMechanismGenerator_RMG-Py,1,0,14,102,4,0,3,3,37,0,0,3845,0.0069193104,3070,65,108,1700.3481256890848,0.6873216094282294,2110.36,0.0,0.8667798048366567,52086.81297709924,105989.03703703704
gaelch_MyNews,7,2,28,104,1,0,1,23,27,0,1,6,0.09589041,0,7,1,1157.55,0.3448275862068966,1157.55,0.0,0.0,603644.4545454546,3698.0
